zip,state,county,city,radius,distance
60442,IL,Will,Manhattan,6,36.05
60609,IL,Cook,Chicago,6,36.46
60194,IL,Cook,Schaumburg,6,36.57
60621,IL,Cook,Chicago,6,36.58
60107,IL,Cook,Streamwood,6,36.60
60656,IL,Cook,Chicago,6,36.77
60608,IL,Cook,Chicago,6,36.82
60159,IL,Cook,Schaumburg,6,36.83
60168,IL,Cook,Schaumburg,6,36.83
60422,IL,Cook,Flossmoor,6,36.87
60018,IL,Cook,Des Plaines,6,37.17
60430,IL,Cook,Homewood,6,37.23
60827,IL,Cook,Riverdale,6,37.28
60612,IL,Cook,Chicago,6,37.46
60120,IL,Kane,Elgin,6,37.50
60461,IL,Cook,Olympia Fields,6,37.74
60628,IL,Cook,Chicago,6,37.84
60175,IL,Kane,Saint Charles,6,37.96
60641,IL,Cook,Chicago,6,38.07
60471,IL,Cook,Richton Park,6,38.07
60545,IL,Kendall,Plano,6,38.07
60177,IL,Kane,South Elgin,6,38.11
60183,IL,Kane,Wasco,6,38.21
60019,IL,Cook,Des Plaines,6,38.31
60695,IL,Cook,Chicago,6,38.46
60664,IL,Cook,Chicago,6,38.47
60668,IL,Cook,Chicago,6,38.47
60670,IL,Cook,Chicago,6,38.47
60673,IL,Cook,Chicago,6,38.47
60675,IL,Cook,Chicago,6,38.47
60677,IL,Cook,Chicago,6,38.47
60678,IL,Cook,Chicago,6,38.47
60680,IL,Cook,Chicago,6,38.47
60681,IL,Cook,Chicago,6,38.47
60684,IL,Cook,Chicago,6,38.47
60685,IL,Cook,Chicago,6,38.47
60686,IL,Cook,Chicago,6,38.47
60687,IL,Cook,Chicago,6,38.47
60690,IL,Cook,Chicago,6,38.47
60691,IL,Cook,Chicago,6,38.47
60693,IL,Cook,Chicago,6,38.47
60694,IL,Cook,Chicago,6,38.47
60696,IL,Cook,Chicago,6,38.47
60697,IL,Cook,Chicago,6,38.47
60699,IL,Cook,Chicago,6,38.47
60169,IL,Cook,Hoffman Estates,6,38.56
60619,IL,Cook,Chicago,6,38.80
60631,IL,Cook,Chicago,6,38.82
60449,IL,Will,Monee,6,38.82
60173,IL,Cook,Schaumburg,6,38.93
60647,IL,Cook,Chicago,6,38.95
60195,IL,Cook,Schaumburg,6,39.35
60119,IL,Kane,Elburn,6,39.54
60622,IL,Cook,Chicago,6,39.56
60068,IL,Cook,Park Ridge,6,39.59
60419,IL,Cook,Dolton,6,39.62
60607,IL,Cook,Chicago,6,39.69
60630,IL,Cook,Chicago,6,39.75
60017,IL,Cook,Des Plaines,6,39.91
60637,IL,Cook,Chicago,6,40.15
60616,IL,Cook,Chicago,6,40.18
60005,IL,Cook,Arlington Heights,6,40.23
60466,IL,Cook,Park Forest,6,40.27
60144,IL,Kane,Kaneville,6,40.34
60196,IL,Cook,Schaumburg,6,40.36
